year,month,day,hour,minute,filename
2021,01,01,00,00,3IMERG.20210101-S000000-E002959.0000.V06B.nc
2021,01,01,00,30,3IMERG.20210101-S003000-E005959.0030.V06B.nc
2021,01,01,01,00,3IMERG.20210101-S010000-E012959.0060.V06B.nc
2021,01,01,01,30,3IMERG.20210101-S013000-E015959.0090.V06B.nc
2021,01,01,02,00,3IMERG.20210101-S020000-E022959.0120.V06B.nc
2021,01,01,02,30,3IMERG.20210101-S023000-E025959.0150.V06B.nc
2021,01,01,03,00,3IMERG.20210101-S030000-E032959.0180.V06B.nc
2021,01,01,03,30,3IMERG.20210101-S033000-E035959.0210.V06B.nc
2021,01,01,04,00,3IMERG.20210101-S040000-E042959.0240.V06B.nc
2021,01,01,04,30,3IMERG.20210101-S043000-E045959.0270.V06B.nc
2021,01,01,05,00,3IMERG.20210101-S050000-E052959.0300.V06B.nc
2021,01,01,05,30,3IMERG.20210101-S053000-E055959.0330.V06B.nc
2021,01,01,06,00,3IMERG.20210101-S060000-E062959.0360.V06B.nc
2021,01,01,06,30,3IMERG.20210101-S063000-E065959.0390.V06B.nc
2021,01,01,07,00,3IMERG.20210101-S070000-E072959.0420.V06B.nc
2021,01,01,07,30,3IMERG.20210101-S073000-E075959.0450.V06B.nc
2021,01,01,08,00,3IMERG.20210101-S080000-E082959.0480.V06B.nc
2021,01,01,08,30,3IMERG.20210101-S083000-E085959.0510.V06B.nc
2021,01,01,09,00,3IMERG.20210101-S090000-E092959.0540.V06B.nc
2021,01,01,09,30,3IMERG.20210101-S093000-E095959.0570.V06B.nc
2021,01,01,10,00,3IMERG.20210101-S100000-E102959.0600.V06B.nc
2021,01,01,10,30,3IMERG.20210101-S103000-E105959.0630.V06B.nc
2021,01,01,11,00,3IMERG.20210101-S110000-E112959.0660.V06B.nc
2021,01,01,11,30,3IMERG.20210101-S113000-E115959.0690.V06B.nc
2021,01,01,12,00,3IMERG.20210101-S120000-E122959.0720.V06B.nc
2021,01,01,12,30,3IMERG.20210101-S123000-E125959.0750.V06B.nc
2021,01,01,13,00,3IMERG.20210101-S130000-E132959.0780.V06B.nc
2021,01,01,13,30,3IMERG.20210101-S133000-E135959.0810.V06B.nc
2021,01,01,14,00,3IMERG.20210101-S140000-E142959.0840.V06B.nc
2021,01,01,14,30,3IMERG.20210101-S143000-E145959.0870.V06B.nc
2021,01,01,15,00,3IMERG.20210101-S150000-E152959.0900.V06B.nc
2021,01,01,15,30,3IMERG.20210101-S153000-E155959.0930.V06B.nc
2021,01,01,16,00,3IMERG.20210101-S160000-E162959.0960.V06B.nc
2021,01,01,16,30,3IMERG.20210101-S163000-E165959.0990.V06B.nc
2021,01,01,17,00,3IMERG.20210101-S170000-E172959.1020.V06B.nc
2021,01,01,17,30,3IMERG.20210101-S173000-E175959.1050.V06B.nc
2021,01,01,18,00,3IMERG.20210101-S180000-E182959.1080.V06B.nc
2021,01,01,18,30,3IMERG.20210101-S183000-E185959.1110.V06B.nc
2021,01,01,19,00,3IMERG.20210101-S190000-E192959.1140.V06B.nc
2021,01,01,19,30,3IMERG.20210101-S193000-E195959.1170.V06B.nc
2021,01,01,20,00,3IMERG.20210101-S200000-E202959.1200.V06B.nc
2021,01,01,20,30,3IMERG.20210101-S203000-E205959.1230.V06B.nc
2021,01,01,21,00,3IMERG.20210101-S210000-E212959.1260.V06B.nc
2021,01,01,21,30,3IMERG.20210101-S213000-E215959.1290.V06B.nc
2021,01,01,22,00,3IMERG.20210101-S220000-E222959.1320.V06B.nc
2021,01,01,22,30,3IMERG.20210101-S223000-E225959.1350.V06B.nc
2021,01,01,23,00,3IMERG.20210101-S230000-E232959.1380.V06B.nc
2021,01,01,23,30,3IMERG.20210101-S233000-E235959.1410.V06B.nc
2021,01,02,00,00,3IMERG.20210102-S000000-E002959.0000.V06B.nc
2021,01,02,00,30,3IMERG.20210102-S003000-E005959.0030.V06B.nc
2021,01,02,01,00,3IMERG.20210102-S010000-E012959.0060.V06B.nc
2021,01,02,01,30,3IMERG.20210102-S013000-E015959.0090.V06B.nc
2021,01,02,02,00,3IMERG.20210102-S020000-E022959.0120.V06B.nc
2021,01,02,02,30,3IMERG.20210102-S023000-E025959.0150.V06B.nc
2021,01,02,03,00,3IMERG.20210102-S030000-E032959.0180.V06B.nc
2021,01,02,03,30,3IMERG.20210102-S033000-E035959.0210.V06B.nc
2021,01,02,04,00,3IMERG.20210102-S040000-E042959.0240.V06B.nc
2021,01,02,04,30,3IMERG.20210102-S043000-E045959.0270.V06B.nc
2021,01,02,05,00,3IMERG.20210102-S050000-E052959.0300.V06B.nc
2021,01,02,05,30,3IMERG.20210102-S053000-E055959.0330.V06B.nc
2021,01,02,06,00,3IMERG.20210102-S060000-E062959.0360.V06B.nc
2021,01,02,06,30,3IMERG.20210102-S063000-E065959.0390.V06B.nc
2021,01,02,07,00,3IMERG.20210102-S070000-E072959.0420.V06B.nc
2021,01,02,07,30,3IMERG.20210102-S073000-E075959.0450.V06B.nc
2021,01,02,08,00,3IMERG.20210102-S080000-E082959.0480.V06B.nc
2021,01,02,08,30,3IMERG.20210102-S083000-E085959.0510.V06B.nc
2021,01,02,09,00,3IMERG.20210102-S090000-E092959.0540.V06B.nc
2021,01,02,09,30,3IMERG.20210102-S093000-E095959.0570.V06B.nc
2021,01,02,10,00,3IMERG.20210102-S100000-E102959.0600.V06B.nc
2021,01,02,10,30,3IMERG.20210102-S103000-E105959.0630.V06B.nc
2021,01,02,11,00,3IMERG.20210102-S110000-E112959.0660.V06B.nc
2021,01,02,11,30,3IMERG.20210102-S113000-E115959.0690.V06B.nc
2021,01,02,12,00,3IMERG.20210102-S120000-E122959.0720.V06B.nc
2021,01,02,12,30,3IMERG.20210102-S123000-E125959.0750.V06B.nc
2021,01,02,13,00,3IMERG.20210102-S130000-E132959.0780.V06B.nc
2021,01,02,13,30,3IMERG.20210102-S133000-E135959.0810.V06B.nc
2021,01,02,14,00,3IMERG.20210102-S140000-E142959.0840.V06B.nc
2021,01,02,14,30,3IMERG.20210102-S143000-E145959.0870.V06B.nc
2021,01,02,15,00,3IMERG.20210102-S150000-E152959.0900.V06B.nc
2021,01,02,15,30,3IMERG.20210102-S153000-E155959.0930.V06B.nc
2021,01,02,16,00,3IMERG.20210102-S160000-E162959.0960.V06B.nc
2021,01,02,16,30,3IMERG.20210102-S163000-E165959.0990.V06B.nc
2021,01,02,17,00,3IMERG.20210102-S170000-E172959.1020.V06B.nc
2021,01,02,17,30,3IMERG.20210102-S173000-E175959.1050.V06B.nc
2021,01,02,18,00,3IMERG.20210102-S180000-E182959.1080.V06B.nc
2021,01,02,18,30,3IMERG.20210102-S183000-E185959.1110.V06B.nc
2021,01,02,19,00,3IMERG.20210102-S190000-E192959.1140.V06B.nc
2021,01,02,19,30,3IMERG.20210102-S193000-E195959.1170.V06B.nc
2021,01,02,20,00,3IMERG.20210102-S200000-E202959.1200.V06B.nc
2021,01,02,20,30,3IMERG.20210102-S203000-E205959.1230.V06B.nc
2021,01,02,21,00,3IMERG.20210102-S210000-E212959.1260.V06B.nc
2021,01,02,21,30,3IMERG.20210102-S213000-E215959.1290.V06B.nc
2021,01,02,22,00,3IMERG.20210102-S220000-E222959.1320.V06B.nc
2021,01,02,22,30,3IMERG.20210102-S223000-E225959.1350.V06B.nc
2021,01,02,23,00,3IMERG.20210102-S230000-E232959.1380.V06B.nc
2021,01,02,23,30,3IMERG.20210102-S233000-E235959.1410.V06B.nc
2021,01,03,00,00,3IMERG.20210103-S000000-E002959.0000.V06B.nc
2021,01,03,00,30,3IMERG.20210103-S003000-E005959.0030.V06B.nc
2021,01,03,01,00,3IMERG.20210103-S010000-E012959.0060.V06B.nc
2021,01,03,01,30,3IMERG.20210103-S013000-E015959.0090.V06B.nc
2021,01,03,02,00,3IMERG.20210103-S020000-E022959.0120.V06B.nc
2021,01,03,02,30,3IMERG.20210103-S023000-E025959.0150.V06B.nc
2021,01,03,03,00,3IMERG.20210103-S030000-E032959.0180.V06B.nc
2021,01,03,03,30,3IMERG.20210103-S033000-E035959.0210.V06B.nc
2021,01,03,04,00,3IMERG.20210103-S040000-E042959.0240.V06B.nc
2021,01,03,04,30,3IMERG.20210103-S043000-E045959.0270.V06B.nc
2021,01,03,05,00,3IMERG.20210103-S050000-E052959.0300.V06B.nc
2021,01,03,05,30,3IMERG.20210103-S053000-E055959.0330.V06B.nc
2021,01,03,06,00,3IMERG.20210103-S060000-E062959.0360.V06B.nc
2021,01,03,06,30,3IMERG.20210103-S063000-E065959.0390.V06B.nc
2021,01,03,07,00,3IMERG.20210103-S070000-E072959.0420.V06B.nc
2021,01,03,07,30,3IMERG.20210103-S073000-E075959.0450.V06B.nc
2021,01,03,08,00,3IMERG.20210103-S080000-E082959.0480.V06B.nc
2021,01,03,08,30,3IMERG.20210103-S083000-E085959.0510.V06B.nc
2021,01,03,09,00,3IMERG.20210103-S090000-E092959.0540.V06B.nc
2021,01,03,09,30,3IMERG.20210103-S093000-E095959.0570.V06B.nc
2021,01,03,10,00,3IMERG.20210103-S100000-E102959.0600.V06B.nc
2021,01,03,10,30,3IMERG.20210103-S103000-E105959.0630.V06B.nc
2021,01,03,11,00,3IMERG.20210103-S110000-E112959.0660.V06B.nc
2021,01,03,11,30,3IMERG.20210103-S113000-E115959.0690.V06B.nc
2021,01,03,12,00,3IMERG.20210103-S120000-E122959.0720.V06B.nc
2021,01,03,12,30,3IMERG.20210103-S123000-E125959.0750.V06B.nc
2021,01,03,13,00,3IMERG.20210103-S130000-E132959.0780.V06B.nc
2021,01,03,13,30,3IMERG.20210103-S133000-E135959.0810.V06B.nc
2021,01,03,14,00,3IMERG.20210103-S140000-E142959.0840.V06B.nc
2021,01,03,14,30,3IMERG.20210103-S143000-E145959.0870.V06B.nc
2021,01,03,15,00,3IMERG.20210103-S150000-E152959.0900.V06B.nc
2021,01,03,15,30,3IMERG.20210103-S153000-E155959.0930.V06B.nc
2021,01,03,16,00,3IMERG.20210103-S160000-E162959.0960.V06B.nc
2021,01,03,16,30,3IMERG.20210103-S163000-E165959.0990.V06B.nc
2021,01,03,17,00,3IMERG.20210103-S170000-E172959.1020.V06B.nc
2021,01,03,17,30,3IMERG.20210103-S173000-E175959.1050.V06B.nc
2021,01,03,18,00,3IMERG.20210103-S180000-E182959.1080.V06B.nc
2021,01,03,18,30,3IMERG.20210103-S183000-E185959.1110.V06B.nc
2021,01,03,19,00,3IMERG.20210103-S190000-E192959.1140.V06B.nc
2021,01,03,19,30,3IMERG.20210103-S193000-E195959.1170.V06B.nc
2021,01,03,20,00,3IMERG.20210103-S200000-E202959.1200.V06B.nc
2021,01,03,20,30,3IMERG.20210103-S203000-E205959.1230.V06B.nc
2021,01,03,21,00,3IMERG.20210103-S210000-E212959.1260.V06B.nc
2021,01,03,21,30,3IMERG.20210103-S213000-E215959.1290.V06B.nc
2021,01,03,22,00,3IMERG.20210103-S220000-E222959.1320.V06B.nc
2021,01,03,22,30,3IMERG.20210103-S223000-E225959.1350.V06B.nc
2021,01,03,23,00,3IMERG.20210103-S230000-E232959.1380.V06B.nc
2021,01,03,23,30,3IMERG.20210103-S233000-E235959.1410.V06B.nc
2021,01,04,00,00,3IMERG.20210104-S000000-E002959.0000.V06B.nc
2021,01,04,00,30,3IMERG.20210104-S003000-E005959.0030.V06B.nc
2021,01,04,01,00,3IMERG.20210104-S010000-E012959.0060.V06B.nc
2021,01,04,01,30,3IMERG.20210104-S013000-E015959.0090.V06B.nc
2021,01,04,02,00,3IMERG.20210104-S020000-E022959.0120.V06B.nc
2021,01,04,02,30,3IMERG.20210104-S023000-E025959.0150.V06B.nc
2021,01,04,03,00,3IMERG.20210104-S030000-E032959.0180.V06B.nc
2021,01,04,03,30,3IMERG.20210104-S033000-E035959.0210.V06B.nc
2021,01,04,04,00,3IMERG.20210104-S040000-E042959.0240.V06B.nc
2021,01,04,04,30,3IMERG.20210104-S043000-E045959.0270.V06B.nc
2021,01,04,05,00,3IMERG.20210104-S050000-E052959.0300.V06B.nc
2021,01,04,05,30,3IMERG.20210104-S053000-E055959.0330.V06B.nc
2021,01,04,06,00,3IMERG.20210104-S060000-E062959.0360.V06B.nc
2021,01,04,06,30,3IMERG.20210104-S063000-E065959.0390.V06B.nc
2021,01,04,07,00,3IMERG.20210104-S070000-E072959.0420.V06B.nc
2021,01,04,07,30,3IMERG.20210104-S073000-E075959.0450.V06B.nc
2021,01,04,08,00,3IMERG.20210104-S080000-E082959.0480.V06B.nc
2021,01,04,08,30,3IMERG.20210104-S083000-E085959.0510.V06B.nc
2021,01,04,09,00,3IMERG.20210104-S090000-E092959.0540.V06B.nc
2021,01,04,09,30,3IMERG.20210104-S093000-E095959.0570.V06B.nc
2021,01,04,10,00,3IMERG.20210104-S100000-E102959.0600.V06B.nc
2021,01,04,10,30,3IMERG.20210104-S103000-E105959.0630.V06B.nc
2021,01,04,11,00,3IMERG.20210104-S110000-E112959.0660.V06B.nc
2021,01,04,11,30,3IMERG.20210104-S113000-E115959.0690.V06B.nc
2021,01,04,12,00,3IMERG.20210104-S120000-E122959.0720.V06B.nc
2021,01,04,12,30,3IMERG.20210104-S123000-E125959.0750.V06B.nc
2021,01,04,13,00,3IMERG.20210104-S130000-E132959.0780.V06B.nc
2021,01,04,13,30,3IMERG.20210104-S133000-E135959.0810.V06B.nc
2021,01,04,14,00,3IMERG.20210104-S140000-E142959.0840.V06B.nc
2021,01,04,14,30,3IMERG.20210104-S143000-E145959.0870.V06B.nc
2021,01,04,15,00,3IMERG.20210104-S150000-E152959.0900.V06B.nc
2021,01,04,15,30,3IMERG.20210104-S153000-E155959.0930.V06B.nc
2021,01,04,16,00,3IMERG.20210104-S160000-E162959.0960.V06B.nc
2021,01,04,16,30,3IMERG.20210104-S163000-E165959.0990.V06B.nc
2021,01,04,17,00,3IMERG.20210104-S170000-E172959.1020.V06B.nc
2021,01,04,17,30,3IMERG.20210104-S173000-E175959.1050.V06B.nc
2021,01,04,18,00,3IMERG.20210104-S180000-E182959.1080.V06B.nc
2021,01,04,18,30,3IMERG.20210104-S183000-E185959.1110.V06B.nc
2021,01,04,19,00,3IMERG.20210104-S190000-E192959.1140.V06B.nc
2021,01,04,19,30,3IMERG.20210104-S193000-E195959.1170.V06B.nc
2021,01,04,20,00,3IMERG.20210104-S200000-E202959.1200.V06B.nc
2021,01,04,20,30,3IMERG.20210104-S203000-E205959.1230.V06B.nc
2021,01,04,21,00,3IMERG.20210104-S210000-E212959.1260.V06B.nc
2021,01,04,21,30,3IMERG.20210104-S213000-E215959.1290.V06B.nc
2021,01,04,22,00,3IMERG.20210104-S220000-E222959.1320.V06B.nc
2021,01,04,22,30,3IMERG.20210104-S223000-E225959.1350.V06B.nc
2021,01,04,23,00,3IMERG.20210104-S230000-E232959.1380.V06B.nc
