year,month,day,hour,minute,filename
2021,01,04,23,30,3IMERG.20210104-S233000-E235959.1410.V06B.nc
2021,01,05,00,00,3IMERG.20210105-S000000-E002959.0000.V06B.nc
2021,01,05,00,30,3IMERG.20210105-S003000-E005959.0030.V06B.nc
2021,01,05,01,00,3IMERG.20210105-S010000-E012959.0060.V06B.nc
2021,01,05,01,30,3IMERG.20210105-S013000-E015959.0090.V06B.nc
2021,01,05,02,00,3IMERG.20210105-S020000-E022959.0120.V06B.nc
2021,01,05,02,30,3IMERG.20210105-S023000-E025959.0150.V06B.nc
2021,01,05,03,00,3IMERG.20210105-S030000-E032959.0180.V06B.nc
2021,01,05,03,30,3IMERG.20210105-S033000-E035959.0210.V06B.nc
2021,01,05,04,00,3IMERG.20210105-S040000-E042959.0240.V06B.nc
2021,01,05,04,30,3IMERG.20210105-S043000-E045959.0270.V06B.nc
2021,01,05,05,00,3IMERG.20210105-S050000-E052959.0300.V06B.nc
2021,01,05,05,30,3IMERG.20210105-S053000-E055959.0330.V06B.nc
2021,01,05,06,00,3IMERG.20210105-S060000-E062959.0360.V06B.nc
2021,01,05,06,30,3IMERG.20210105-S063000-E065959.0390.V06B.nc
2021,01,05,07,00,3IMERG.20210105-S070000-E072959.0420.V06B.nc
2021,01,05,07,30,3IMERG.20210105-S073000-E075959.0450.V06B.nc
2021,01,05,08,00,3IMERG.20210105-S080000-E082959.0480.V06B.nc
2021,01,05,08,30,3IMERG.20210105-S083000-E085959.0510.V06B.nc
2021,01,05,09,00,3IMERG.20210105-S090000-E092959.0540.V06B.nc
2021,01,05,09,30,3IMERG.20210105-S093000-E095959.0570.V06B.nc
2021,01,05,10,00,3IMERG.20210105-S100000-E102959.0600.V06B.nc
2021,01,05,10,30,3IMERG.20210105-S103000-E105959.0630.V06B.nc
2021,01,05,11,00,3IMERG.20210105-S110000-E112959.0660.V06B.nc
2021,01,05,11,30,3IMERG.20210105-S113000-E115959.0690.V06B.nc
2021,01,05,12,00,3IMERG.20210105-S120000-E122959.0720.V06B.nc
2021,01,05,12,30,3IMERG.20210105-S123000-E125959.0750.V06B.nc
2021,01,05,13,00,3IMERG.20210105-S130000-E132959.0780.V06B.nc
2021,01,05,13,30,3IMERG.20210105-S133000-E135959.0810.V06B.nc
2021,01,05,14,00,3IMERG.20210105-S140000-E142959.0840.V06B.nc
2021,01,05,14,30,3IMERG.20210105-S143000-E145959.0870.V06B.nc
2021,01,05,15,00,3IMERG.20210105-S150000-E152959.0900.V06B.nc
2021,01,05,15,30,3IMERG.20210105-S153000-E155959.0930.V06B.nc
2021,01,05,16,00,3IMERG.20210105-S160000-E162959.0960.V06B.nc
2021,01,05,16,30,3IMERG.20210105-S163000-E165959.0990.V06B.nc
2021,01,05,17,00,3IMERG.20210105-S170000-E172959.1020.V06B.nc
2021,01,05,17,30,3IMERG.20210105-S173000-E175959.1050.V06B.nc
2021,01,05,18,00,3IMERG.20210105-S180000-E182959.1080.V06B.nc
2021,01,05,18,30,3IMERG.20210105-S183000-E185959.1110.V06B.nc
2021,01,05,19,00,3IMERG.20210105-S190000-E192959.1140.V06B.nc
2021,01,05,19,30,3IMERG.20210105-S193000-E195959.1170.V06B.nc
2021,01,05,20,00,3IMERG.20210105-S200000-E202959.1200.V06B.nc
2021,01,05,20,30,3IMERG.20210105-S203000-E205959.1230.V06B.nc
2021,01,05,21,00,3IMERG.20210105-S210000-E212959.1260.V06B.nc
2021,01,05,21,30,3IMERG.20210105-S213000-E215959.1290.V06B.nc
2021,01,05,22,00,3IMERG.20210105-S220000-E222959.1320.V06B.nc
2021,01,05,22,30,3IMERG.20210105-S223000-E225959.1350.V06B.nc
2021,01,05,23,00,3IMERG.20210105-S230000-E232959.1380.V06B.nc
2021,01,05,23,30,3IMERG.20210105-S233000-E235959.1410.V06B.nc
2021,01,06,00,00,3IMERG.20210106-S000000-E002959.0000.V06B.nc
2021,01,06,00,30,3IMERG.20210106-S003000-E005959.0030.V06B.nc
2021,01,06,01,00,3IMERG.20210106-S010000-E012959.0060.V06B.nc
2021,01,06,01,30,3IMERG.20210106-S013000-E015959.0090.V06B.nc
2021,01,06,02,00,3IMERG.20210106-S020000-E022959.0120.V06B.nc
2021,01,06,02,30,3IMERG.20210106-S023000-E025959.0150.V06B.nc
2021,01,06,03,00,3IMERG.20210106-S030000-E032959.0180.V06B.nc
2021,01,06,03,30,3IMERG.20210106-S033000-E035959.0210.V06B.nc
2021,01,06,04,00,3IMERG.20210106-S040000-E042959.0240.V06B.nc
2021,01,06,04,30,3IMERG.20210106-S043000-E045959.0270.V06B.nc
2021,01,06,05,00,3IMERG.20210106-S050000-E052959.0300.V06B.nc
2021,01,06,05,30,3IMERG.20210106-S053000-E055959.0330.V06B.nc
2021,01,06,06,00,3IMERG.20210106-S060000-E062959.0360.V06B.nc
2021,01,06,06,30,3IMERG.20210106-S063000-E065959.0390.V06B.nc
2021,01,06,07,00,3IMERG.20210106-S070000-E072959.0420.V06B.nc
2021,01,06,07,30,3IMERG.20210106-S073000-E075959.0450.V06B.nc
2021,01,06,08,00,3IMERG.20210106-S080000-E082959.0480.V06B.nc
2021,01,06,08,30,3IMERG.20210106-S083000-E085959.0510.V06B.nc
2021,01,06,09,00,3IMERG.20210106-S090000-E092959.0540.V06B.nc
2021,01,06,09,30,3IMERG.20210106-S093000-E095959.0570.V06B.nc
2021,01,06,10,00,3IMERG.20210106-S100000-E102959.0600.V06B.nc
2021,01,06,10,30,3IMERG.20210106-S103000-E105959.0630.V06B.nc
2021,01,06,11,00,3IMERG.20210106-S110000-E112959.0660.V06B.nc
2021,01,06,11,30,3IMERG.20210106-S113000-E115959.0690.V06B.nc
2021,01,06,12,00,3IMERG.20210106-S120000-E122959.0720.V06B.nc
2021,01,06,12,30,3IMERG.20210106-S123000-E125959.0750.V06B.nc
2021,01,06,13,00,3IMERG.20210106-S130000-E132959.0780.V06B.nc
2021,01,06,13,30,3IMERG.20210106-S133000-E135959.0810.V06B.nc
2021,01,06,14,00,3IMERG.20210106-S140000-E142959.0840.V06B.nc
2021,01,06,14,30,3IMERG.20210106-S143000-E145959.0870.V06B.nc
2021,01,06,15,00,3IMERG.20210106-S150000-E152959.0900.V06B.nc
2021,01,06,15,30,3IMERG.20210106-S153000-E155959.0930.V06B.nc
2021,01,06,16,00,3IMERG.20210106-S160000-E162959.0960.V06B.nc
2021,01,06,16,30,3IMERG.20210106-S163000-E165959.0990.V06B.nc
2021,01,06,17,00,3IMERG.20210106-S170000-E172959.1020.V06B.nc
2021,01,06,17,30,3IMERG.20210106-S173000-E175959.1050.V06B.nc
2021,01,06,18,00,3IMERG.20210106-S180000-E182959.1080.V06B.nc
2021,01,06,18,30,3IMERG.20210106-S183000-E185959.1110.V06B.nc
2021,01,06,19,00,3IMERG.20210106-S190000-E192959.1140.V06B.nc
2021,01,06,19,30,3IMERG.20210106-S193000-E195959.1170.V06B.nc
2021,01,06,20,00,3IMERG.20210106-S200000-E202959.1200.V06B.nc
2021,01,06,20,30,3IMERG.20210106-S203000-E205959.1230.V06B.nc
2021,01,06,21,00,3IMERG.20210106-S210000-E212959.1260.V06B.nc
2021,01,06,21,30,3IMERG.20210106-S213000-E215959.1290.V06B.nc
2021,01,06,22,00,3IMERG.20210106-S220000-E222959.1320.V06B.nc
2021,01,06,22,30,3IMERG.20210106-S223000-E225959.1350.V06B.nc
2021,01,06,23,00,3IMERG.20210106-S230000-E232959.1380.V06B.nc
2021,01,06,23,30,3IMERG.20210106-S233000-E235959.1410.V06B.nc
2021,01,07,00,00,3IMERG.20210107-S000000-E002959.0000.V06B.nc
2021,01,07,00,30,3IMERG.20210107-S003000-E005959.0030.V06B.nc
2021,01,07,01,00,3IMERG.20210107-S010000-E012959.0060.V06B.nc
2021,01,07,01,30,3IMERG.20210107-S013000-E015959.0090.V06B.nc
2021,01,07,02,00,3IMERG.20210107-S020000-E022959.0120.V06B.nc
2021,01,07,02,30,3IMERG.20210107-S023000-E025959.0150.V06B.nc
2021,01,07,03,00,3IMERG.20210107-S030000-E032959.0180.V06B.nc
2021,01,07,03,30,3IMERG.20210107-S033000-E035959.0210.V06B.nc
2021,01,07,04,00,3IMERG.20210107-S040000-E042959.0240.V06B.nc
2021,01,07,04,30,3IMERG.20210107-S043000-E045959.0270.V06B.nc
2021,01,07,05,00,3IMERG.20210107-S050000-E052959.0300.V06B.nc
2021,01,07,05,30,3IMERG.20210107-S053000-E055959.0330.V06B.nc
2021,01,07,06,00,3IMERG.20210107-S060000-E062959.0360.V06B.nc
2021,01,07,06,30,3IMERG.20210107-S063000-E065959.0390.V06B.nc
2021,01,07,07,00,3IMERG.20210107-S070000-E072959.0420.V06B.nc
2021,01,07,07,30,3IMERG.20210107-S073000-E075959.0450.V06B.nc
2021,01,07,08,00,3IMERG.20210107-S080000-E082959.0480.V06B.nc
2021,01,07,08,30,3IMERG.20210107-S083000-E085959.0510.V06B.nc
2021,01,07,09,00,3IMERG.20210107-S090000-E092959.0540.V06B.nc
2021,01,07,09,30,3IMERG.20210107-S093000-E095959.0570.V06B.nc
2021,01,07,10,00,3IMERG.20210107-S100000-E102959.0600.V06B.nc
2021,01,07,10,30,3IMERG.20210107-S103000-E105959.0630.V06B.nc
2021,01,07,11,00,3IMERG.20210107-S110000-E112959.0660.V06B.nc
2021,01,07,11,30,3IMERG.20210107-S113000-E115959.0690.V06B.nc
2021,01,07,12,00,3IMERG.20210107-S120000-E122959.0720.V06B.nc
2021,01,07,12,30,3IMERG.20210107-S123000-E125959.0750.V06B.nc
2021,01,07,13,00,3IMERG.20210107-S130000-E132959.0780.V06B.nc
2021,01,07,13,30,3IMERG.20210107-S133000-E135959.0810.V06B.nc
2021,01,07,14,00,3IMERG.20210107-S140000-E142959.0840.V06B.nc
2021,01,07,14,30,3IMERG.20210107-S143000-E145959.0870.V06B.nc
2021,01,07,15,00,3IMERG.20210107-S150000-E152959.0900.V06B.nc
2021,01,07,15,30,3IMERG.20210107-S153000-E155959.0930.V06B.nc
2021,01,07,16,00,3IMERG.20210107-S160000-E162959.0960.V06B.nc
2021,01,07,16,30,3IMERG.20210107-S163000-E165959.0990.V06B.nc
2021,01,07,17,00,3IMERG.20210107-S170000-E172959.1020.V06B.nc
2021,01,07,17,30,3IMERG.20210107-S173000-E175959.1050.V06B.nc
2021,01,07,18,00,3IMERG.20210107-S180000-E182959.1080.V06B.nc
2021,01,07,18,30,3IMERG.20210107-S183000-E185959.1110.V06B.nc
2021,01,07,19,00,3IMERG.20210107-S190000-E192959.1140.V06B.nc
2021,01,07,19,30,3IMERG.20210107-S193000-E195959.1170.V06B.nc
2021,01,07,20,00,3IMERG.20210107-S200000-E202959.1200.V06B.nc
2021,01,07,20,30,3IMERG.20210107-S203000-E205959.1230.V06B.nc
2021,01,07,21,00,3IMERG.20210107-S210000-E212959.1260.V06B.nc
2021,01,07,21,30,3IMERG.20210107-S213000-E215959.1290.V06B.nc
2021,01,07,22,00,3IMERG.20210107-S220000-E222959.1320.V06B.nc
2021,01,07,22,30,3IMERG.20210107-S223000-E225959.1350.V06B.nc
2021,01,07,23,00,3IMERG.20210107-S230000-E232959.1380.V06B.nc
2021,01,07,23,30,3IMERG.20210107-S233000-E235959.1410.V06B.nc
2021,01,08,00,00,3IMERG.20210108-S000000-E002959.0000.V06B.nc
2021,01,08,00,30,3IMERG.20210108-S003000-E005959.0030.V06B.nc
2021,01,08,01,00,3IMERG.20210108-S010000-E012959.0060.V06B.nc
2021,01,08,01,30,3IMERG.20210108-S013000-E015959.0090.V06B.nc
2021,01,08,02,00,3IMERG.20210108-S020000-E022959.0120.V06B.nc
2021,01,08,02,30,3IMERG.20210108-S023000-E025959.0150.V06B.nc
2021,01,08,03,00,3IMERG.20210108-S030000-E032959.0180.V06B.nc
2021,01,08,03,30,3IMERG.20210108-S033000-E035959.0210.V06B.nc
2021,01,08,04,00,3IMERG.20210108-S040000-E042959.0240.V06B.nc
2021,01,08,04,30,3IMERG.20210108-S043000-E045959.0270.V06B.nc
2021,01,08,05,00,3IMERG.20210108-S050000-E052959.0300.V06B.nc
2021,01,08,05,30,3IMERG.20210108-S053000-E055959.0330.V06B.nc
2021,01,08,06,00,3IMERG.20210108-S060000-E062959.0360.V06B.nc
2021,01,08,06,30,3IMERG.20210108-S063000-E065959.0390.V06B.nc
2021,01,08,07,00,3IMERG.20210108-S070000-E072959.0420.V06B.nc
2021,01,08,07,30,3IMERG.20210108-S073000-E075959.0450.V06B.nc
2021,01,08,08,00,3IMERG.20210108-S080000-E082959.0480.V06B.nc
2021,01,08,08,30,3IMERG.20210108-S083000-E085959.0510.V06B.nc
2021,01,08,09,00,3IMERG.20210108-S090000-E092959.0540.V06B.nc
2021,01,08,09,30,3IMERG.20210108-S093000-E095959.0570.V06B.nc
2021,01,08,10,00,3IMERG.20210108-S100000-E102959.0600.V06B.nc
2021,01,08,10,30,3IMERG.20210108-S103000-E105959.0630.V06B.nc
2021,01,08,11,00,3IMERG.20210108-S110000-E112959.0660.V06B.nc
2021,01,08,11,30,3IMERG.20210108-S113000-E115959.0690.V06B.nc
2021,01,08,12,00,3IMERG.20210108-S120000-E122959.0720.V06B.nc
2021,01,08,12,30,3IMERG.20210108-S123000-E125959.0750.V06B.nc
2021,01,08,13,00,3IMERG.20210108-S130000-E132959.0780.V06B.nc
2021,01,08,13,30,3IMERG.20210108-S133000-E135959.0810.V06B.nc
2021,01,08,14,00,3IMERG.20210108-S140000-E142959.0840.V06B.nc
2021,01,08,14,30,3IMERG.20210108-S143000-E145959.0870.V06B.nc
2021,01,08,15,00,3IMERG.20210108-S150000-E152959.0900.V06B.nc
2021,01,08,15,30,3IMERG.20210108-S153000-E155959.0930.V06B.nc
2021,01,08,16,00,3IMERG.20210108-S160000-E162959.0960.V06B.nc
2021,01,08,16,30,3IMERG.20210108-S163000-E165959.0990.V06B.nc
2021,01,08,17,00,3IMERG.20210108-S170000-E172959.1020.V06B.nc
2021,01,08,17,30,3IMERG.20210108-S173000-E175959.1050.V06B.nc
2021,01,08,18,00,3IMERG.20210108-S180000-E182959.1080.V06B.nc
2021,01,08,18,30,3IMERG.20210108-S183000-E185959.1110.V06B.nc
2021,01,08,19,00,3IMERG.20210108-S190000-E192959.1140.V06B.nc
2021,01,08,19,30,3IMERG.20210108-S193000-E195959.1170.V06B.nc
2021,01,08,20,00,3IMERG.20210108-S200000-E202959.1200.V06B.nc
2021,01,08,20,30,3IMERG.20210108-S203000-E205959.1230.V06B.nc
2021,01,08,21,00,3IMERG.20210108-S210000-E212959.1260.V06B.nc
2021,01,08,21,30,3IMERG.20210108-S213000-E215959.1290.V06B.nc
2021,01,08,22,00,3IMERG.20210108-S220000-E222959.1320.V06B.nc
2021,01,08,22,30,3IMERG.20210108-S223000-E225959.1350.V06B.nc
2021,01,08,23,00,3IMERG.20210108-S230000-E232959.1380.V06B.nc
2021,01,08,23,30,3IMERG.20210108-S233000-E235959.1410.V06B.nc
